FID,block_id,census_year,clue_small_area,commercial_accommodation,common_area,community_use,educational_research,entertainment_recreation_indoor,equipment_installation,hospital_clinic,house_townhouse,institutional_accommodation,manufacturing,office,park_reserve,parking_commercial_covered,parking_commercial_uncovered,parking_private_covered,parking_private_uncovered,performances_conferences_ceremonies,private_outdoor_space,public_display_area,residential_apartment,retail_cars,retail_shop,retail_showroom,retail_stall,sports_and_recreation_outdoor,square_promenade,storage,student_accommodation,total_space_in_block,transport,transport_storage_uncovered,unoccupied_under_construction,unoccupied_under_demolition_condemned,unoccupied_under_renovation,unoccupied_undeveloped_site,unoccupied_unused,wholesale,workshop_studio,wkb_geometry
com_clue_floor_use_block_2016.325,325,2016,North Melbourne,0,2804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7544,0,8412,0,0,0,0,0,0,0,0,18760.0390625,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.798449873155654 144.9462688070169, -37.7982258519037 144.94434360135338, -37.79817744490916 144.94435225384262, -37.79729034425823 144.9445108164095, -37.797511933879356 144.94643555813323, -37.798449873155654 144.9462688070169)))"
com_clue_floor_use_block_2016.317,317,2016,North Melbourne,0,1764,0,0,,0,,705,0,0,,0,0,0,0,,0,,0,5741,0,0,0,0,0,0,0,0,17738,,0,0,0,0,2923,,0,,"MULTIPOLYGON (((-37.7982258519037 144.94434360135338, -37.798295117030975 144.944331256502, -37.799174870241174 144.9430222865508, -37.79802555610158 144.9417684138551, -37.797731863574235 144.94217122522605, -37.79837867214419 144.94288051330417, -37.79780983727317 144.943726985793, -37.79772121805202 144.94385651342668, -37.79817744490916 144.94435225384262, -37.7982258519037 144.94434360135338)))"
com_clue_floor_use_block_2016.328,328,2016,North Melbourne,0,2089,0,,0,0,0,7223,0,0,0,0,0,0,,0,0,,0,6793,0,0,0,0,0,0,0,0,27993,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.7995978013431 144.94409908098544, -37.798295117030975 144.944331256502, -37.7982258519037 144.94434360135338, -37.798449873155654 144.9462688070169, -37.79980814930674 144.94602875234773, -37.7995978013431 144.94409908098544)))"
com_clue_floor_use_block_2016.327,327,2016,North Melbourne,0,7801,0,0,,0,,0,0,0,0,0,0,0,0,0,0,15436,0,23594,0,,0,0,0,0,0,0,47415.01171875,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.79943353797046 144.94875279650296, -37.80009845303427 144.94863746009213, -37.79980814930674 144.94602875234773, -37.798449873155654 144.9462688070169, -37.79875081065267 144.948871219532, -37.79943353797046 144.94875279650296)))"
com_clue_floor_use_block_2016.332,332,2016,North Melbourne,0,171,0,0,0,0,0,6053,0,,737,0,0,0,,0,0,456,0,212,0,0,0,0,0,0,470,0,10279.16015625,0,0,0,0,0,,,0,1235,"MULTIPOLYGON (((-37.80192402154389 144.94831231783783, -37.80212550520033 144.94827718392625, -37.801832062707774 144.94566866744523, -37.80129205383519 144.94576503838042, -37.80158626879767 144.94837121508954, -37.80192402154389 144.94831231783783)))"
com_clue_floor_use_block_2016.330,330,2016,North Melbourne,0,1812,0,0,0,,0,,0,0,0,0,0,0,1154,0,0,6251,0,10725,0,0,0,0,0,0,0,0,20518.109375,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.80081699765114 144.94850535720096, -37.800527369298344 144.9459015045557, -37.79980814930674 144.94602875234773, -37.80009845303427 144.94863746009213, -37.80081699765114 144.94850535720096)))"
com_clue_floor_use_block_2016.331,331,2016,North Melbourne,0,1510,0,0,0,0,,4252,0,0,1511,0,0,0,922,0,0,606,0,3116,0,0,0,0,0,0,,0,17189.4609375,0,0,0,0,,0,1494,0,1924,"MULTIPOLYGON (((-37.800527369298344 144.9459015045557, -37.80081699765114 144.94850535720096, -37.80158626879767 144.94837121508954, -37.80129205383519 144.94576503838042, -37.800527369298344 144.9459015045557)))"
com_clue_floor_use_block_2016.343,343,2016,North Melbourne,0,507,0,2352,0,0,0,4318,0,0,1104,0,0,0,0,0,,5320,0,999,0,,,0,0,0,,0,18886.890625,0,0,0,0,0,,,,,"MULTIPOLYGON (((-37.80260263285283 144.94553114570678, -37.80289329872927 144.9481432931401, -37.80389593600627 144.9479692477875, -37.803577984576506 144.94535446250524, -37.80260263285283 144.94553114570678)))"
com_clue_floor_use_block_2016.333,333,2016,North Melbourne,0,635,0,0,,0,0,4415,0,0,1201,0,0,0,0,0,0,812,0,1934,0,,0,0,0,0,497,0,14436.30957031,0,0,0,,1467,0,809,0,1334,"MULTIPOLYGON (((-37.80289329872927 144.9481432931401, -37.80260263285283 144.94553114570678, -37.801832062707774 144.94566866744523, -37.80212550520033 144.94827718392625, -37.80289329872927 144.9481432931401)))"
com_clue_floor_use_block_2016.329,329,2016,North Melbourne,0,1806,0,,0,0,0,0,0,0,2749,0,0,0,,0,,2967,0,3764,0,0,0,0,0,0,0,0,14266.01953125,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.80032471625616 144.94401262527455, -37.800107945347044 144.94403840702947, -37.7995978013431 144.94409908098544, -37.79980814930674 144.94602875234773, -37.800527369298344 144.9459015045557, -37.80042230975123 144.9449331508392, -37.80032471625616 144.94401262527455)))"
